nombre;precio_normal;precio_promocional;precio_CMR;descuento;paginacion
Apple iPhone 6S(64GB)  Gris;$ 1.495.735;$ 1.117.554;null;-25%;?
Tarjeta gráfica de video para juegos par...;$ 189.066;$ 135.190;null;-28%;12
Celular Samsung A10s 32Gb - Azul;null;$ 689.000;null;null;?
Apple iPhone 7P(256GB)  Rojo;$ 2.786.828;$ 2.292.689;null;-17%;?
iPhone 6 128GB - Silver;$ 2.999.999;$ 1.499.999;null;-50%;?
Apple iPhone 7(32GB)  Plata;$ 1.766.179;$ 1.228.695;null;-30%;13
samsung S9 G960FD 4+64G Azul;$ 2.985.956;$ 1.937.778;null;-35%;?
Apple iPhone 6S(16GB)  Plata;$ 1.329.022;$ 1.013.822;null;-23%;13
Celular Samsung Galaxy S10 Plus 128 Gb 8...;$ 3.999.999;$ 3.539.900;null;-11%;10
Celular KRONO NET LITE Rosa;$ 214.900;$ 181.900;null;-15%;2
iPhone 8 Blanco 64Gb;$ 2.200.000;$ 2.039.900;null;-7%;3
Celular iPro Shark 2 Certificacion IP67...;$ 299.900;$ 129.900;null;-56%;4
samsung S8 G950FD 4+64G Polvo;$ 2.267.241;$ 1.550.264;null;-31%;10
Celular Ipro Shark IP67 Super Batería -...;$ 199.900;$ 129.900;null;-35%;6
Apple iPhone 7(128GB)  Rojo;$ 1.923.629;$ 1.458.388;null;-24%;13
Blackview A7 Pro 4G Teléfono Móvil 5,0 '...;null;$ 379.000;null;null;?
Iphone 11 128gb Yellow Unlocked;$ 5.689.000;$ 3.689.000;null;-35%;13
"Galaxy Note 4 5.7"" 32gb 3gb Ram 4g Lte -...";$ 699.000;$ 560.000;null;-19%;6
samsung S8 G950F 4+64G Oro;$ 2.262.611;$ 1.546.560;null;-31%;?
Celular Samsung Galaxy Z Flip 256GB;null;$ 6.999.900;$ 6.899.900;null;10
OpenBox Celular Motorola Moto G5 Plus Du...;null;$ 639.900;null;null;8
google pixel-3XL-128G Blanco;$ 3.217.810;$ 2.574.248;null;-20%;12
Iphone 7 32GB - Silver;$ 1.299.990;$ 799.990;null;-38%;2
Samsung Galaxy S6 32GB 3GB Pantalla rect...;$ 759.000;$ 560.000;null;-26%;5
Apple iPhone 6SP(16GB)  Gris;$ 1.802.300;$ 1.288.712;null;-28%;13
Xiaomi Mi 9T  6GB RAM +64GB ROM- Azul;$ 1.999.000;$ 1.399.000;null;-30%;4
Apple iPhone 7(256GB)  Rojo;$ 2.090.341;$ 1.495.435;null;-28%;?
Celular Motorola One Macro;$ 999.900;$ 619.900;$ 549.900;-38%;
iPhone 8 64 GB - SemiNuevo- Space gray;$ 2.499.990;$ 1.299.990;null;-48%;
"Galaxy S8 5.8"" 64GB 4GB RAM 12MP - Negro";$ 2.959.900;$ 1.500.900;null;-49%;4
Celular KRONO NET LITE Dorado;$ 214.900;$ 181.900;null;-15%;
Huawei Y7 2019 Memoria 32 GB - 3 GB RAM...;null;$ 629.000;null;null;3
"Galaxy S8 5.8"" 64GB 4GB RAM 12MP";$ 2.959.900;$ 1.500.900;null;-49%;6
google pixel-3-64G  Polvo;$ 2.847.338;$ 2.277.870;null;-20%;12
Celular Motorola Moto E6 Plus 64GB Edici...;null;$ 629.000;null;null;3
samsung S8 G950F 4+64G Polvo;$ 2.262.611;$ 1.546.560;null;-31%;?
Samsung Galaxy Note 4 Lte 4g 16mp 32gb 3...;$ 959.000;$ 560.000;null;-41%;5
Apple iPhone 6SP(16GB)  Plata;$ 1.802.300;$ 1.288.712;null;-28%;13
Lg G6 4g Lte 32gb 4g Lte 4gb Ram Huella...;$ 1.290.900;$ 560.900;null;-56%;6
Celular Samsung A20S 32GB 3GB Negro;null;$ 579.900;null;null;
