nombre;precio_normal;precio_promocional;precio_CMR;descuento;paginacion
iPhone 7 Color:Negro 128GB;$ 2.000.000;$ 1.789.900;null;-10%;3
Celular Huawei P30 Lite 128GB;$ 1.299.900;$ 949.900;$ 749.900;-26%;
Celular Huawei Y5 2019 - Cafe Caramelo;null;$ 419.900;null;null;3
Iphone 7 32GB - Gold;$ 1.299.990;$ 799.999;null;-38%;
samsung S8+ G955FD 4+64G Negro;$ 2.512.679;$ 1.673.261;null;-33%;?
Apple Iphone 11 64GB Negro/Black Unlocke...;$ 5.600.000;$ 3.600.000;null;-35%;?
Reloj Smartwatch Sim SD Bluetooth Inteli...;$ 109.900;$ 54.900;null;-50%;2
"Redmi Note 9S 6GB+128GB 6.67"" 4G Smartph...";$ 1.578.800;$ 1.088.800;null;-31%;?
Galaxy S7 Edge 32GB 4GB RAM - Blanco;$ 1.323.900;$ 890.900;null;-32%;5
Galaxy Fit e Samsung  Unisex-Blanco;null;$ 149.900;null;null;6
Celulares Blu Studio Touch Cam 8mp Hd Qu...;$ 399.000;$ 300.000;null;-24%;?
Celular Xiaomi Redmi Note 9s 4gb/64gb In...;$ 1.149.900;$ 949.900;null;-17%;8
Celular Samsung Galaxy A11 Negro;$ 800.000;$ 605.570;null;-24%;10
Celular Samsung Galaxy A30 64GB Ram 4GB...;$ 999.900;$ 794.900;null;-20%;2
google pixel-2-128G  Negro;$ 1.661.829;$ 1.329.463;null;-20%;12
Iphone 5S 16GB - Negro;$ 900.660;$ 692.899;null;-23%;8
samsung S7edge G935FD-32G Azul;$ 1.695.789;$ 1.187.202;null;-29%;10
Celular Xiaomi Redmi Note 8 64gb 4ram Az...;$ 819.900;$ 749.900;null;-8%;4
XIAOMI MI NOTE 10 128G BLANCO;null;$ 2.349.900;null;null;?
samsung S7edge G935F-32G Blanco;$ 1.413.305;$ 1.187.202;null;-15%;10
Celular Motorola One Action 128GB;$ 1.299.900;$ 699.900;null;-46%;2
PSP Accesorio-Estuche Acolchado-Azul;$ 11.000;$ 4.900;null;-55%;11
Apple iPhone 7P(128GB)  Negro brillante;$ 2.601.592;$ 2.218.595;null;-14%;?
Celular HUAWEI P40 Pro 256GB Azul + Y9 p...;null;$ 4.599.900;null;null;2
Celular Hyundai L465 8GB Dual Sim Card 4...;$ 329.900;$ 191.900;null;-41%;11
Smartphone Apple Iphone 11 Pro Max 256Gb...;$ 6.499.000;$ 5.899.000;null;-9%;2
Celular Moto E6 Plus - Gris;$ 750.000;$ 549.000;null;-26%;11
samsung S7edge G935F-32G Negro;$ 1.413.305;$ 1.187.202;null;-15%;10
Celular Blu C5 16GB Doble Camara Dual Si...;$ 399.990;$ 224.900;null;-43%;3
"Redmi Note 9S 4GB+64GB 6.67"" 4G Smartpho...";$ 1.155.700;$ 797.000;null;-31%;?
samsung S7 G930F-32G Blanco;$ 1.406.358;$ 1.070.874;null;-23%;?
Reloj Inteligente Smartwatch Sim SD Blue...;$ 149.900;$ 67.900;null;-54%;3
Iphone 5S 32GB - Plata;$ 950.213;$ 730.999;null;-23%;8
google pixel-3XL-128G Polvo;$ 3.217.810;$ 2.574.248;null;-20%;12
Iphone 11 Pro 64GB Gold/Oro;$ 5.999.000;$ 4.999.000;null;-16%;?
Celular Huawei P30 Lite 128GB;$ 1.299.900;$ 779.900;$ 749.900;-40%;
Samsung Galaxy A30s 128 Gb negro;$ 1.000.000;$ 943.900;null;-5%;10
Samsung Galaxy S20+ Plus 128Gb - Azul;$ 4.599.000;$ 3.719.000;null;-19%;
Hyundai E553 Verde Hyundai;null;$ 279.900;null;null;?
Celular Samsung Galaxy S10E Octacore 128...;null;$ 3.229.900;null;null;5
Apple iPhone 6 (64GB) gold;$ 1.219.116;$ 889.343;null;-27%;?
Celular Motorola G8 Plus;$ 1.299.900;$ 749.900;$ 719.900;-42%;
IPAD MINI 5 GENERACION;$ 2.799.000;$ 2.299.000;null;-17%;13
Celular Neffos N105, Dual Sim, Cámara, R...;$ 90.000;$ 80.900;null;-10%;?
Celular Xiaomi Mi A1 Phone,4GB+64GB, Glo...;$ 1.001.900;$ 700.900;null;-30%;4
Apple iPhone 7(256GB)  Rosa dorada;$ 2.090.341;$ 1.495.435;null;-28%;?
"Huawei Y9 Prime 2019 128GB 6.59"" Negro O...";$ 1.099.900;$ 869.800;null;-20%;?
Celular Motorola Moto E6 Plus 64Gb 4 Ram...;$ 849.900;$ 499.900;null;-41%;
PIM18 Camiseta mujer bike explosion moda...;$ 30.000;$ 13.500;null;-55%;11
Celular  Huawei Y9 Prime 2019 128GB NEGR...;$ 999.900;$ 779.900;null;-22%;?
samsung S7 G930F-32G Oro;$ 1.406.358;$ 1.070.874;null;-23%;10
Celular MOVIL R15-5.0 pulgadas smartphon...;$ 375.966;$ 224.590;null;-40%;?
samsung note9 N960F 6+64G Azul;$ 3.828.779;$ 2.554.242;null;-33%;10
Celular iphone Se 2020 64Gb - Negro;$ 2.999.000;$ 2.099.000;null;-30%;
Celular Samsung Galaxy S10 Plus 128GB -...;null;$ 3.699.900;null;null;2
Iphone 6S 64GB - Dorado;$ 1.499.542;$ 1.153.499;null;-23%;8
"Galaxy S6 Edge 5.1"" 32GB 3GB RAM - Negro";$ 692.000;$ 652.900;null;-5%;5
Celular Hyundai L465 8GB Dual Sim Card 4...;$ 329.900;$ 191.900;null;-41%;11
Iphone 5C 32GB - Blanco;$ 836.241;$ 643.299;null;-23%;8
COMBO CELULAR NET LITE+BLUETOOTH K30+SMA...;$ 360.700;$ 299.900;null;-16%;11
Celular libre Asus Zenfone 4 max 16gb An...;$ 490.900;$ 386.950;null;-21%;12
Celular Huawei Mate 7 Gris;$ 595.900;$ 429.900;null;-27%;?
Celular Huawei Y9 2019 64GB - Azul;null;$ 1.199.900;null;null;8
Apple iPhone 7P(32GB)  Rosa dorada;$ 2.462.665;$ 2.018.540;null;-18%;13
***Apple iPhone 7 128GB-Oro;null;$ 2.000.000;null;null;4
Smartphone UMIDIGI F1 Play Android 9.0 6...;$ 1.163.900;$ 879.900;null;-24%;4
Celular Infinix Note 4 X572 16GB - Azul;$ 609.600;$ 349.900;null;-42%;2
iPhone 11 64 GB;null;$ 3.449.900;null;null;8
Apple iPhone 8P(64GB)  Negro;$ 3.272.145;$ 2.725.400;null;-16%;?
Celular Samsung J2 CORE DS 16GB - Black;$ 399.900;$ 329.900;null;-17%;3
Celular Samsung A20s Octa-core 32gb Ram3...;$ 729.900;$ 609.310;null;-16%;2
Celular Huawei Y7p 64GB Negro + Obsequio;$ 1.200.000;$ 819.900;null;-31%;12
Celular Samsung Galaxy A11 32Gb 13mp Azu...;$ 749.900;$ 589.900;null;-21%;10
"Samsung Galaxy S6 Edge 32GB 3GB 5.1"" 4G...";$ 952.900;$ 652.900;null;-31%;5
Apple iPhone 7P(32GB)  Oscuro;$ 2.462.665;$ 2.018.540;null;-18%;13
Iphone 6S 16GB - Plata;$ 1.329.646;$ 1.022.899;null;-23%;8
iPhone 8 Color: Dorado 64Gb;$ 2.200.000;$ 2.039.900;null;-7%;2
Apple iPhone 6 (16GB);$ 1.172.807;$ 859.706;null;-26%;13
Xiaomi Redmi 8A 32 GB MIDNIGHT BLACK;$ 599.900;$ 559.900;null;-6%;3
redmi note7 3+32G Azul;$ 1.106.122;$ 884.898;null;-19%;?
Celular Huawei Y9 Prime 2019 128GB Azul;$ 1.249.980;$ 869.980;null;-30%;?
Celular Samsung Galaxy J7 Pro 16GB - Neg...;$ 999.900;$ 599.900;null;-40%;2
"Redmi Note 9S 4GB+64GB 6.67"" 4G Smartpho...";$ 1.155.700;$ 797.000;null;-31%;?
Celular Samsung A30 64GB Negro;$ 950.000;$ 849.900;null;-10%;8
Audífonos Manos Libres Samsung In -Ear -...;null;$ 40.000;null;null;?
Celular Infinix Note 4 X572 16GB - Oro;$ 609.600;$ 349.900;null;-42%;6
Huawei Y9 Prime 2019 Negro;null;$ 1.199.900;null;null;2
Celular Samsung Galaxy S20 128 GB Gris -...;$ 4.999.999;$ 3.899.900;null;-22%;10
google pixel-3XL-128G Negro;$ 3.217.810;$ 2.574.248;null;-20%;12
"Huawei Y9 Prime 2019 128GB 6.59"" Azul Za...";$ 1.099.900;$ 869.800;null;-20%;?
Apple IPhone 7 Plus 32GB-Negro Mate;null;$ 2.999.999;null;null;8
Apple iPhone 6S(64GB)  Rosa dorada;$ 1.495.735;$ 1.117.554;null;-25%;?
Decodificador Tdt Celular Tablet Android...;$ 169.475;$ 129.340;null;-23%;6
Celular Samsung A20S   32GB DS 4G AZUL;$ 799.900;$ 573.900;null;-28%;3
Celular Xiaomi Redmi Note 9s /64gb/48mp/...;$ 1.800.000;$ 995.000;null;-44%;2
Apple iPhone 6S(16GB)  Gris;$ 1.329.022;$ 1.013.822;null;-23%;?
IPhone?8 64GB - Plata;$ 2.417.660;$ 1.726.900;null;-28%;8
Huawei Y6 2019 Negro;null;$ 599.999;null;null;?
Samsung Galaxy A10s 2GB 32GB Dual SIM-Ro...;$ 599.900;$ 509.900;null;-15%;
Walkie-Talkie PTT MicróFono De Altavoz P...;$ 115.325;$ 88.900;null;-22%;?
Celular iPro Shark 2 Certificacion IP67...;$ 299.900;$ 129.900;null;-56%;11
Apple iPhone 6SP(64GB)  Gris;$ 1.996.797;$ 1.407.262;null;-29%;?
samsung S10 G973F 8+128G  Azul;$ 3.860.578;$ 3.088.462;null;-20%;10
REDMI NOTE8 DE 128GB BLANCO;$ 1.209.900;$ 1.109.900;null;-8%;?
Samsung Galaxy S7 G9300 5.1 Pulgadas 4 G...;null;$ 1.752.532;null;null;5
Apple iPhone 6 (64GB);$ 1.219.116;$ 889.343;null;-27%;?
"Samsung Galaxy S6 Edge 32GB 3GB 5.1"" 4G...";$ 952.900;$ 652.900;null;-31%;5
Código Spotify Premium 15.000 1 Mes Tv -...;null;$ 29.900;null;null;11
Reloj Smart i Band Watch Series 4 Ritmo...;$ 399.900;$ 169.900;null;-57%;
Lg G6 4g Lte 32gb 4g Lte 4gb Ram Huella...;$ 1.290.300;$ 560.900;null;-56%;6
Caterpillar S31 Negro - Dual Sim Resiste...;$ 1.199.900;$ 1.034.900;null;-13%;3
Samsung Galaxy S6 32GB 3GB Pantalla rect...;$ 759.000;$ 560.000;null;-26%;6
Galaxy S7 Edge 32GB 4GB RAM - Plata;$ 1.323.900;$ 890.900;null;-32%;5
Apple iPhone X(256GB)   Plata;$ 4.574.353;$ 3.665.657;null;-19%;?
Realme 6 128GB 4GB RAM - Azul - RMX2001;$ 1.299.000;$ 1.099.000;null;-15%;11
Samsung Galaxy A10 S negro;$ 600.000;$ 589.900;null;-1%;6
samsung S8+ G955F 4+64G Azul;$ 2.471.001;$ 1.676.966;null;-32%;?
Celular Samsung Galaxy S10 Plus 128 Gb A...;null;$ 3.459.900;null;null;5
samsung S9 G960FD 4+64G Púrpura;$ 2.985.956;$ 1.937.778;null;-35%;11
samsung S10 G973FD 8+128G  Azul;$ 4.064.337;$ 3.251.470;null;-19%;?
Celular Samsung Galaxy S7 Edge 32gb 4ram...;$ 1.233.000;$ 891.900;null;-27%;5
Xiaomi Redmi 5 4GB 32GB 5.7 Pulgadas 18:...;null;$ 590.000;null;null;4
XIAOMI Redmi Note 8 4GB 64GB 48MP  4G Sm...;$ 1.053.880;$ 810.898;null;-23%;4
Apple Iphone Xr 64gb Amarillo/Yellow  Un...;$ 4.999.999;$ 3.229.000;null;-35%;13
Celular Huawei P30 Lite 128GB - Negro;$ 1.299.900;$ 869.900;null;-33%;8
Leef iBridge 3 Plateado y Blanco  memori...;null;$ 250.990;null;null;11
samsung S10+ G975F 8+128G Verde;$ 4.087.491;$ 3.269.993;null;-19%;?
Huawei Y9 Prime 2019 Azul;null;$ 1.199.900;null;null;?
Celular Honor 8X-Azul;null;$ 1.199.900;null;null;8
Celular Samsung Galaxy A11;$ 859.990;$ 594.990;null;-30%;10
samsung S8+ G955FD 4+64G Polvo;$ 2.512.679;$ 1.673.261;null;-33%;10
"Samsung GALAXY S7 5.1"" 32gb 4gb Ram 4g L...";$ 890.900;$ 650.000;null;-27%;5
Apple iPhone 6SP(32GB)  plata;$ 1.610.889;$ 1.318.349;null;-18%;?
Celular Huawei Nova 5T - Azul;$ 1.899.980;$ 1.799.980;null;-5%;?
Apple iPhone 7(256GB)  Oscuro;$ 2.090.341;$ 1.495.435;null;-28%;?
Celular Samsung Galaxy S7 Edge 32gb 4ram...;$ 1.233.000;$ 890.900;null;-27%;6
samsung S7edge G935FD-32G Blanco;$ 1.695.789;$ 1.187.202;null;-29%;11
Apple iPhone 6 (128GB) gold;$ 1.262.338;$ 970.847;null;-23%;?
Iphone 11 Pro Max 64GB Space Grey Unlock...;$ 6.999.000;$ 5.999.000;null;-14%;?
google pixel-3aXL-64G Negro;$ 2.458.343;$ 1.966.674;null;-20%;12
Apple iPhone 8P(64GB)  Oro;$ 3.272.145;$ 2.725.400;null;-16%;13
Desbloqueo dual de tarjeta SIM Mini telé...;$ 110.000;$ 106.290;null;-3%;?
"Samsung GALAXY S7 edge 5.5"" 32gb 4gb Ram...";$ 1.523.900;$ 890.900;null;-41%;5
"Redmi Note 9S 4GB+64GB 6.67"" 4G Smartpho...";$ 1.155.700;$ 797.000;null;-31%;?
samsung S10+ G975FD 8+128G  Azul;$ 4.235.680;$ 3.388.544;null;-20%;?
Smarphone Huawei Y6 2018 16GB - Dorado D...;$ 655.900;$ 409.900;null;-37%;8
samsung S9 G960FD 4+64G Gris;$ 2.985.956;$ 1.937.778;null;-35%;10
samsung note9 N960FD 6+64G Negro;$ 3.861.195;$ 2.591.289;null;-32%;10
Realme 6i 64GB 3GB RAM - Blanco - RMX204...;$ 999.000;$ 719.000;null;-28%;11
Smartphone Apple Iphone 11 pro 64Gb - Ne...;$ 4.999.000;$ 4.599.000;null;-8%;?
Celular Motorola One Xt1941-3 Octa Core...;null;$ 1.089.900;null;null;6
Ulefone Armadura 2S Android 7.0 A Prueba...;$ 722.714;$ 505.900;null;-29%;12
"Redmi Note 9S 6GB+128GB 6.67"" 4G Smartph...";$ 1.578.800;$ 1.088.800;null;-31%;?
Celular Samsung A01 Negro;$ 550.000;$ 469.900;null;-14%;6
samsung S8+ G955F 4+64G Plata;$ 2.471.001;$ 1.676.966;null;-32%;10
Celular Honor 8X-Negro;null;$ 1.199.900;null;null;8
Xiaomi Redmi Note 8 128GB ROM+4GB RAM-Az...;$ 859.000;$ 689.000;null;-19%;3
Celular Samsung Galaxy Note 10+;$ 4.399.900;$ 3.999.900;$ 3.899.900;-9%;5
Apple iPhone X(64GB)  Negro;$ 4.324.284;$ 3.146.997;null;-27%;13
Simcard Celulares Red 4g Lte Claro Prepa...;$ 3.000;$ 1.500;null;-50%;4
Apple iPhone 7(256GB)  Negro brillante;$ 2.090.341;$ 1.495.435;null;-28%;?
Celular Hyundai E553 16GB Dual Sim Card...;$ 399.900;$ 279.900;null;-30%;11
Celular LG K51S 64GB;null;$ 699.900;null;null;11
Celular Samgung Galaxy A30S 128GB Blanco;$ 1.299.900;$ 749.900;null;-42%;
samsung note9 N960F 6+64G Negro;$ 3.828.779;$ 2.554.242;null;-33%;10
Celular Caterpillar S31 2GB RAM Resiste...;$ 999.999;$ 810.000;null;-18%;8
Convertidor Bluetooth Adaptador Recargab...;$ 71.078;$ 51.658;null;-27%;11
Teléfono celular Bmobile K401 Azul;null;$ 89.900;$ 79.900;null;4
iPhone 11 64 GB Dual Sim-Black;$ 4.000.000;$ 3.349.000;null;-16%;?
samsung S7 G930F-32G Negro;$ 1.406.358;$ 1.070.874;null;-23%;?
HOMTOM HT3 Smartphone MTK6580 Quad Core...;null;$ 329.999;null;null;?
Celular Motorola E6 plus Grafito;$ 671.900;$ 554.900;null;-17%;2
Iphone 5S 64GB - Negro;$ 1.016.755;$ 782.199;null;-23%;8
Celular Samsung Galaxy S7 32gb 4g Lte De...;$ 990.900;$ 650.900;null;-34%;4
"Galaxy Note 4 5.7"" 32gb 3gb Ram 4g Lte -...";$ 699.000;$ 560.000;null;-19%;5
iPhone 11 Pro 256 GB Gold;$ 6.669.000;$ 5.669.000;null;-14%;?
"HTC DESIRE 10 Pro 5.5"" 64gb/4gb 4g Lte F...";$ 677.000;$ 519.900;null;-23%;?
samsung S8 G950FD 4+64G Negro;$ 2.267.241;$ 1.550.264;null;-31%;?
CELULAR KRONO PLAY K7 NEGRO / ROJO;$ 59.900;$ 44.900;null;-25%;11
Apple iPhone 8P(256GB)  Plata;$ 3.781.544;$ 3.088.462;null;-18%;?
iPhone 7 Dorado 128GB + Audífonos Inalám...;$ 2.000.000;$ 1.859.900;null;-7%;3
"Celular Samsung Galaxy Note 5 5.7"" 32gb...";$ 885.900;$ 746.900;null;-15%;5
Reloj Inteligente Smartwatch Sim SD Blue...;$ 119.900;$ 54.900;null;-54%;3
Caterpillar S61 Original Resistente Golp...;$ 4.490.000;$ 3.770.000;null;-16%;?
Celular Samsung Galaxy A20 S 32 GB-Rojo;$ 890.000;$ 665.000;null;-25%;5
Motorola Moto E6s 4g 32gb Cam Dual 13/2m...;$ 699.999;$ 499.999;null;-28%;11
Reloj Inteligente Z60 Smartwatch Correa...;$ 155.000;$ 110.000;null;-29%;?
Celular Huawei Y9 Prime 2019 128GB Verde;$ 1.129.900;$ 854.900;null;-24%;2
"Celular iPro Pantalla 2.8"" Superbateria...";$ 129.900;$ 79.900;null;-38%;3
Sim Card Prepago Kalley Móvil 4gLTE;$ 10.000;$ 7.000;null;-30%;4
Celular Samsung Galaxy S7 Edge 32GB - Ro...;null;$ 2.056.253;null;null;5
samsung S9+ G965F 6+64G  Púrpura;$ 3.245.286;$ 2.123.013;null;-34%;10
samsung S9 G960F 4+64G Azul;$ 2.962.802;$ 1.900.730;null;-35%;10
Galaxy Note 5 32gb 4gb Ram - Plata;$ 1.236.900;$ 746.900;null;-39%;5
Celular Motorola G8 Plus;$ 1.299.900;$ 749.900;$ 719.900;-42%;2
Celular Infinix Note 4 Pro X571 32GB - N...;$ 794.280;$ 399.900;null;-49%;2
google pixel-3a-64G  Blanco;$ 2.180.489;$ 1.744.392;null;-19%;12
Celular Motorola E6 Plus 64GB 4GB Ram Ar...;null;$ 529.900;null;null;3
samsung S9+ G965FD 6+64G  Azul;$ 3.268.441;$ 2.145.242;null;-34%;10
Celular iPro A28 Super Pantalla Superbat...;$ 159.900;$ 79.900;null;-50%;11
Cargador Celular Tablet Carga Rápida 3.0...;$ 59.426;$ 38.900;null;-34%;4
Neffos C7S 16GB;null;$ 429.900;null;null;6
"Celular Alcatel 3 (2019) 32GB 5.9"" Black...";$ 529.900;$ 488.500;null;-7%;4
Realme 6i 64GB 3GB RAM - Azul - RMX2040;$ 999.000;$ 719.000;null;-28%;11
Celular Motorola One Action 128 Gb 4 Gb...;$ 2.301.900;$ 1.437.900;null;-37%;6
Apple IPhone 6s 64GB-Rosa Dorado;$ 778.000;$ 599.900;null;-22%;8
iPhone 7 Negro 32GB + Audífonos Inalámbr...;$ 1.800.000;$ 1.609.900;null;-10%;13
Celular Touch Smart Krone 4.5 8GB Desblo...;null;$ 239.900;null;null;?
Samsung Galaxy Note 4 Lte 4g 16mp 32gb 3...;$ 959.000;$ 560.000;null;-41%;6
Celular L465 Dorado Hyundai;null;$ 229.900;null;null;3
Celular Samsung Galaxy S9+ Plus 64GB - L...;$ 1.800.990;$ 1.565.900;null;-13%;8
Samsung Galaxy S7 G9300 Impermeable 5.1...;null;$ 1.758.562;null;null;5
Celular Huawei Y7 2019 - Negro;null;$ 699.999;null;null;?
iPhone 7 Blanco 128GB + Audífonos Inalám...;$ 2.000.000;$ 1.859.900;null;-7%;?
samsung note8 N950F 6+64G  Azul;$ 2.826.653;$ 1.860.720;null;-34%;10
Teléfono Celular Hyundai D265 32MB Dual...;$ 99.900;$ 74.900;null;-25%;4
Celular Huawei P30 Lite 128GB - Negro;$ 949.000;$ 879.900;null;-7%;8
BT Smart Fingerprint Candado Desbloqueo...;$ 97.646;$ 69.890;null;-28%;12
samsung note8 N950F 6+64G  Gris;$ 2.826.653;$ 1.860.720;null;-34%;?
Walkie Talkie/ VersióN De ActualizacióN...;$ 248.572;$ 208.900;null;-15%;?
UMIDIGI X 6.35 Inch AMOLED Smartphone wi...;$ 1.152.900;$ 829.900;null;-28%;12
Smart i Band Watch Series 4 Ritmo Cardia...;$ 399.900;$ 169.900;null;-57%;3
Smartphone HTC Wildfire E Dorado;$ 599.900;$ 429.900;$ 399.900;-28%;3
En Existencia Homtom HT7 5.5 Pulgadas An...;$ 339.999;$ 279.999;null;-17%;?
Smartphone Apple Iphone 11 Pro 256Gb - D...;$ 5.599.000;$ 5.199.000;null;-7%;?
"Xiaomi Redmi 8A, 32GB, 6,2""- Negro";$ 519.900;$ 484.900;null;-6%;3
Apple iPhone 6SP(64GB)  Oro;$ 1.996.797;$ 1.407.262;null;-29%;?
samsung S8+ G955FD 4+64G Oro;$ 2.512.679;$ 1.673.261;null;-33%;10
google pixel-2XL-64G  Negro;$ 1.643.306;$ 1.314.645;null;-19%;12
Celular MOTOROLA One 64GB DS 4G Negro;$ 1.299.900;$ 949.900;null;-26%;6
"Xperia XZ  5.2"" 32GB 3GB RAM 23MP - Plat...";$ 950.000;$ 520.000;null;-45%;4
Celular Samsung Galaxy A01 16gb Negro;$ 580.000;$ 460.000;null;-20%;5
Iphone 6S 64GB - Plata;$ 1.499.542;$ 1.153.499;null;-23%;8
Smartphone Samsung Galaxy Z Flip  256GB...;null;$ 7.475.000;null;null;5
Celular Samsung Galaxy A30S 128GB Negro;$ 1.299.900;$ 749.900;null;-42%;
Reloj Inteligente Smartwatch Cámara Noti...;$ 300.900;$ 252.900;null;-15%;3
Apple iPhone 7P(256GB)  Oro;$ 2.786.828;$ 2.292.689;null;-17%;13
"Celular Samsung Galaxy Note 4 note4 5.7""...";$ 699.000;$ 560.900;null;-19%;5
Teléfono Celular Hyundai D265 32MB Dual...;$ 99.900;$ 74.900;null;-25%;11
samsung S9+ G965F 6+64G  Azul;$ 3.245.286;$ 2.123.013;null;-34%;10
Celular Infinix Note 4 X572 16GB - Negro;$ 609.600;$ 349.900;null;-42%;3
Smartphone Libre Hyundai E504 3g Dorado;$ 275.600;$ 229.990;null;-16%;3
Lg G6 4g Lte 32gb 4g Lte 4gb Ram Huella...;$ 1.290.900;$ 560.900;null;-56%;6
"Samsung GALAXY S7 edge 5.5"" 32gb 4gb Ram...";$ 1.523.900;$ 890.900;null;-41%;6
Celular Samsung Galaxy S10 128GB;$ 3.299.900;$ 2.429.900;null;-26%;8
POWER BANK SONY 2800 MAH Azul ORIGINAL;$ 69.900;$ 39.990;null;-42%;4
"Samsung GALAXY S6 Pantalla recta 5.1"" 32...";$ 699.000;$ 560.900;null;-19%;6
google pixel-32G Blanco;$ 948.672;$ 758.937;null;-20%;12
Apple iPhone 8 (64GB)  Rojo;$ 2.696.062;$ 1.871.834;null;-30%;?
Apple iPhone 6SP(128GB)  Gris;$ 2.080.153;$ 1.459.128;null;-29%;13
Iphone 5S 32GB - Dorado;$ 950.213;$ 730.999;null;-23%;8
samsung S7edge G935FD-32G Oro;$ 1.695.789;$ 1.187.202;null;-29%;10
iPhone 8 64 GB - SemiNuevo- Gold;$ 2.499.990;$ 1.299.990;null;-48%;
Global Versión Xiaomi Redmi Note 9 Pro 6...;$ 1.499.000;$ 1.399.000;null;-6%;?
Celular Flecha Panasonic GD100S 32MB - N...;$ 100.000;$ 49.900;null;-50%;2
iPhone 7 Color: Dorado 128GB;$ 2.000.000;$ 1.789.900;null;-10%;3
google pixel-3-128G  Polvo;$ 3.217.810;$ 2.574.248;null;-20%;12
